user_id,item_list
164,17819 14706 4549 8322 4878 25407 1577 9301 11535 20146
165,11072 7639 8524 21552 141 5717 8704 24410 14023 21050
166,12273 14163 20858 12553 5256 7639 6905 24410 21763 1648
167,6878 22848 2426 10834 10908 4980 11991 13136 25138 22651
168,3030 18138 24025 13819 2515 11990 22092 23932 23364 25418
169,25407 15691 7494 2426 23154 19089 1583 5044 20095 10594
170,17951 20863 5952 4366 22801 16402 13663 11099 11533 2761
171,25675 4512 23424 12923 19401 24075 22554 9851 7202 22359
172,19781 22830 10514 21975 2344 9243 17065 11731 3380 16992
173,17209 9322 2426 13711 9733 12050 25407 5669 18452 5
174,13294 6973 7494 10792 16651 681 22010 13928 14838 7237
175,5756 20626 2507 7632 8430 16667 12305 23530 25957 5078
176,23127 21854 9315 5396 12061 5717 18545 22646 2333 22359
177,25407 6734 10594 21920 1583 9555 6327 10834 15691 17143
178,22657 8251 15490 8704 23909 15830 7639 11452 6599 2759
179,8304 16197 16954 24093 24484 6500 23109 15343 22402 20894
180,14876 3556 18987 15562 5467 2579 17464 15498 6612 24255
181,19480 13797 19089 10269 8251 9591 21552 19709 23600 25675
182,15903 17517 5150 19973 22075 17546 25083 5272 3261 4654
183,23600 19709 17723 12409 7494 23481 20095 6198 20146 3165
184,7823 16394 15749 9683 17233 10491 10753 16588 15844 20651
185,653 21255 5250 7607 4198 15809 14018 1385 7430 5673
186,16394 7583 7553 21199 22554 7013 23895 17877 3264 736
187,10747 19518 23879 2825 1254 18515 13763 21139 4072 5084
188,9017 23895 10747 11748 17877 11823 1095 6454 9819 24577
189,25407 16772 8097 5044 15691 17229 2118 12466 2426 23141
190,6734 23154 25171 10594 9597 5108 25407 15770 5 8316
191,18806 6897 20990 8691 1026 13690 23698 13202 4582 25892
192,24093 15764 8304 17820 24109 5412 4803 57 18122 3997
193,3656 484 3812 11848 17013 24243 7115 14356 4909 6446
194,11367 24753 18259 13348 1538 24566 24075 6686 1110 12060
195,10020 399 1092 6145 16703 18503 23051 7030 21011 3133
196,3497 19985 681 3744 24383 10917 8375 18088 4147 7086
197,22075 16266 6960 17586 18758 13388 5272 7268 23740 8318
198,6088 22646 9591 23536 3983 15459 2868 9050 2333 22359
199,8249 15234 7450 6446 22121 15013 3572 4257 12601 15196
200,23244 7494 19089 17723 19525 1432 5491 8894 23600 6198
201,19089 20146 17760 16630 4112 19480 6329 12119 24355 20095
202,4341 868 24586 10175 17407 6264 25575 14172 25063 8902
203,24444 19161 8987 13686 4289 14253 3968 14406 4444 19705
204,12061 9851 9591 8560 25675 24075 1863 9018 11384 22554
205,23536 2333 18190 21854 3983 18872 15459 6088 22646 11792
206,921 19120 23666 4620 18380 23358 11987 7885 16034 15709
207,6239 23628 8158 6760 25740 15006 14609 20518 4766 13311
208,6865 5491 13415 20083 19908 10784 15959 18980 471 4195
209,19874 4502 24355 18419 17668 10418 20553 19355 15234 4257
210,17908 2798 7016 20915 9636 25034 14190 9500 12093 8392
211,7836 6380 23505 12236 2210 25779 24865 10688 9609 5154
212,4728 19089 7720 9637 2448 153 12409 17723 16630 11900
213,24515 19915 7246 7303 9157 13396 9832 6250 17525 8395
214,24075 9438 10269 5942 773 22554 12550 23799 15564 25675
215,15925 7709 8676 1479 13894 8875 21947 23280 10377 4308
216,18644 7012 5763 19504 17697 12700 16758 15271 6319 23398
217,16966 562 3348 9282 9797 25643 1387 10203 21871 20573
218,17546 5150 15196 11334 15234 12142 9511 10766 19010 17517
219,8709 497 13609 18793 23328 9769 13424 20333 9662 12048
220,24075 9438 22554 10269 12061 18293 10786 15564 12923 9851
221,19826 11459 22332 17668 7646 53 6612 7939 20231 5467
222,14684 4502 20308 18419 5581 10418 7883 17668 4257 6612
223,9003 13562 7639 7167 17149 5191 12273 19480 8704 17593
224,2485 19340 3788 15795 2679 13226 15645 10162 7045 2001
225,25407 16772 8990 1436 23255 9555 7095 24143 1583 4878
226,769 23506 8193 22717 14585 9378 2590 20424 4492 21483
227,15124 19631 10522 2412 11737 2854 9260 11903 11033 10749
228,19631 2854 16365 20191 17668 8097 11033 4203 24577 12630
229,20613 20637 17248 17076 4384 12083 16222 10188 891 22662
230,711 6097 12759 21373 7069 7946 22475 21936 78 10698
231,24075 22554 18293 9438 5942 12923 10269 14978 19089 25260
232,1457 20166 4684 9533 25335 13030 15425 19180 7405 3747
233,24098 6938 9859 3577 13625 21024 19961 14666 25871 5862
234,16577 5930 306 11197 11354 12601 12943 10951 3913 625
235,21042 16577 14328 22731 12936 1972 3913 16942 4351 25416
236,6088 9591 22359 14418 22646 15459 13541 8811 25903 12801
237,14838 17857 8959 91 6734 11896 14969 24327 21473 25407
238,16897 12945 18330 5497 22615 7114 15394 5475 4215 16871
239,10513 21802 6616 22739 11597 9618 13756 25281 7166 18799
240,10556 21920 12597 10467 3903 17963 8097 25162 8104 15150
241,25308 19123 3782 11369 10002 9358 21780 1211 3266 20003
242,1397 10592 25675 15275 18499 20644 8545 8529 7487 16758
243,5907 11832 19970 16116 800 9018 6952 17157 5581 22511
244,5078 24075 25675 14684 4502 9438 5581 20308 25463 16324
245,1785 5487 999 17552 3255 16112 7885 9284 11716 9497
246,2426 1583 10594 7991 12818 6734 18392 5044 10981 17156
247,7816 24216 23847 24230 3130 6294 18293 23004 22750 6358
248,656 281 1771 15929 8367 22520 5003 13522 7728 9159
249,19089 18984 17723 7494 6198 12409 20146 24209 16630 23600
250,5152 12719 626 14382 9159 551 23335 19653 23722 1225
251,19526 3613 8529 22554 18501 13128 10137 20762 561 15790
252,24199 22756 10347 13810 175 22817 9976 5302 11055 14506
253,13552 5522 4115 5284 1712 4605 17114 8819 341 24985
254,9438 25675 5942 25407 12061 22554 23799 19089 9851 8538
255,4559 11876 11390 12865 15364 3667 4038 23838 14006 21058
256,3636 9236 14212 5029 23540 14462 19393 24520 24955 16239
257,2426 14684 4502 9555 23154 12818 7883 7727 23141 10594
258,11618 23600 16630 20095 12409 19709 20146 7494 2665 19480
259,16324 14386 17637 6652 19532 10062 2459 23434 9253 8395
260,25407 6734 9555 12050 10834 10792 13711 18392 10908 1583
261,7030 16301 19577 2667 3281 11855 5324 3133 13954 9293
262,2441 19792 8492 468 7506 7932 6222 25733 24431 16076
263,19857 18949 25711 3188 23801 14396 11645 20294 15703 13757
264,24355 18419 20308 5581 22653 10418 17668 7883 20553 11737
265,24075 10269 12061 4543 13949 3059 129 24322 10133 10401
266,8545 9304 15394 5221 20480 11645 5475 13490 1288 7917
267,21733 18486 14189 16460 21586 3127 6365 21111 14282 13126
268,2426 15691 9555 23154 23141 10834 23468 10594 12818 6327
269,5044 19089 16188 8785 16630 11295 3572 19709 23600 3165
270,21854 23536 13541 2333 2868 16805 15459 7235 6088 23299
271,6955 8541 10808 6802 20972 7977 7760 10186 4161 2444
272,25675 4512 18293 19401 24075 19564 25463 15877 9438 7202
273,2426 23154 9555 7991 6734 17156 23141 16906 13711 18392
274,24770 17517 8318 25167 19402 12698 5272 9092 658 7144
275,25675 17860 7487 24075 4296 11748 22410 10269 3506 12453
276,15898 2306 20023 9950 21391 6833 22323 3694 17926 8851
277,5717 12341 18190 9284 11764 6662 2432 24756 18114 10450
278,11979 24420 7117 1628 14339 10784 1441 15959 15379 17802
279,6938 24098 19961 9859 17199 1103 18689 3577 10604 20898
280,24355 4502 15231 18419 19874 23403 15234 4257 17668 20308
281,12061 2300 2333 18190 13541 23711 5396 13030 6088 23457
282,9703 23071 24484 3810 24093 16711 24109 8064 1810 19379
283,4620 18190 5717 23536 15327 2333 2868 6088 15335 23457
284,4502 19874 14684 4257 18419 15754 1714 16394 9819 9683
285,13865 5420 12789 9178 15636 15903 20524 15234 22846 6587
286,1863 7266 13628 21185 12801 24970 18122 15302 4940 6491
287,25305 1684 24200 21081 5188 17369 5933 13911 5733 10139
288,9234 16385 18878 8436 5942 15766 25693 3086 7920 16312
289,3527 10839 23840 13433 14104 7839 17768 24546 12616 2241
290,471 18980 10784 17802 11979 24962 6279 15959 21704 14248
291,10865 4787 13885 2579 15415 22847 12808 20371 17464 22434
292,7333 17546 23689 15658 24958 19402 17187 3799 5703 8216
293,22754 9508 14864 10980 6867 25613 3439 14273 18246 4587
294,23796 14764 21667 9876 23450 22257 17036 13351 17856 10150
295,1808 8784 25162 18311 2729 9477 13708 15656 23783 2936
296,25407 19089 15691 9555 20095 11295 7494 16630 23600 23154
297,5937 14104 11702 16011 13552 13810 19563 2219 25526 12720
298,18512 20308 14684 8395 8769 6612 21085 17637 4502 18419
299,8919 19427 14436 25621 24640 8488 8855 25483 23579 22159
300,25407 14356 5044 9992 19468 22121 2426 2643 484 20367
301,12409 20095 17723 16630 19709 2665 19480 23481 8894 22121
302,25903 6926 1378 10789 6088 21890 13009 20802 24405 18768
303,7144 15903 22075 4118 18636 17546 25712 5150 19973 9531
304,14291 23481 23600 13797 21552 11687 8704 16630 525 19910
305,23258 9284 3255 17552 18190 11716 23536 5717 8686 15327
306,13686 11357 15993 11305 3905 1566 3968 24444 14406 1097
307,18246 6600 12341 4620 18190 8213 17162 17525 12172 1170
308,13541 2333 2868 18190 3983 4620 9029 15459 5717 21854
309,25228 9179 520 14006 6734 9813 1905 18241 19783 20722
310,25071 22445 25407 19379 20146 20657 8431 1240 8785 16176
311,22548 8709 3037 459 5032 18793 497 20300 15559 16172
312,18190 5717 15327 921 3835 9284 13837 13541 16112 11764
313,25675 22554 22750 24075 6294 22128 25046 6632 21552 14595
314,11702 22622 25458 21248 22313 4025 4602 19007 6 20212
315,6088 2333 13541 6588 1863 5717 18190 10450 9315 3983
316,11532 24862 13226 17331 9297 13962 10542 25078 4194 18890
317,10009 25030 20496 19114 141 13118 2333 14023 163 16503
318,1121 2327 25564 24285 15207 19602 22378 5702 4038 2164
319,3631 18305 10269 3506 10161 11375 23426 18404 10838 6572
320,12601 21042 25738 679 6446 22121 4351 19852 5930 16772
321,20163 21802 11597 13494 17145 15330 13756 15905 25281 24675
322,3981 15595 10340 25044 5291 5183 24857 19119 25782 10269
323,24014 19355 12413 890 14684 1258 20308 24355 18419 19213
324,15899 2639 2401 22158 8990 16772 19468 20 9649 10620
325,359 8395 20345 2835 17637 19874 14684 16324 2459 11242
326,6734 14509 8231 21142 16206 10869 9021 25718 19843 2791
327,17925 9645 24929 8092 20438 3010 23270 11668 6505 3509
328,12714 22079 18899 15800 25369 23895 22010 1162 7946 19948
329,14684 18512 22653 19874 24355 20308 11832 25201 18419 10418
330,10269 9438 22554 12061 10786 5942 9851 18293 25260 23799
331,23749 5187 15636 5815 25702 12158 2286 16266 23197 14017
332,20290 12710 773 12273 14978 21552 17760 14291 364 8538
333,5717 18190 11792 6088 10450 4620 9284 24075 9218 9851
334,21733 15197 11723 14189 4218 11467 18486 16512 3994 21586
335,9851 24075 25675 11792 2333 5717 8811 9337 6088 23536
336,19874 14684 4502 16538 17668 18512 24355 21697 10337 23064
337,10747 9293 21674 23648 5629 9858 2126 12158 17369 2396
338,22118 19824 20201 15188 11086 20676 3846 4854 19031 15826
339,9733 24070 6691 12050 11340 4980 14211 8037 8309 11348
340,8395 2459 17637 19874 2835 24711 359 16324 20553 14684
341,15053 7775 15708 15592 15741 22831 11072 2928 22807 25693
342,18190 19588 9284 9315 23711 180 15335 9176 10900 15678
343,20658 22982 23795 2669 5721 9679 19705 2248 15144 4814
344,4502 11871 5084 18419 19874 21139 1547 592 5815 15636
345,5549 681 20404 13294 5025 3422 9066 7111 7039 17707
346,5078 16324 359 2835 19874 8395 20308 17637 11022 17668
347,16873 8229 7981 10994 5815 9819 11820 17664 25741 9041
348,16365 19631 25201 14684 4502 15124 19874 2854 15363 10418
349,13109 23109 4222 14253 4150 10437 18496 14207 13418 9418
350,8123 24898 12162 19150 4413 20335 3660 24138 4064 15939
351,16387 16122 10761 1195 8203 24063 15161 9272 12390 21797
352,15459 9591 2333 23536 18190 2868 22646 12341 3983 22359
353,23600 14291 13797 16630 19480 8251 11618 14895 19709 20095
354,24603 7335 623 17160 20466 10990 23923 5593 18246 15906
355,11340 12050 4980 25407 8316 2426 9322 11991 8309 14211
356,8987 15993 25675 15903 11305 1097 16849 6961 7964 19220
357,3631 23737 17680 1414 21863 3188 10451 8331 11177 25717
358,8524 15830 8544 18619 24472 14327 5119 9243 12734 7639
359,14684 4502 5581 4257 19874 12214 7883 15234 16394 1714
360,17517 15234 15903 21222 12552 4588 5044 9041 22121 3572
361,5406 7898 16865 23460 4928 15892 10329 4833 3249 24717
362,502 5469 3497 3744 9060 17541 2995 6164 8529 8337
363,22858 129 1422 8342 1731 14957 16218 18909 14244 24153
364,22359 9050 14418 13541 24764 1378 21982 9591 6754 20130
365,3037 5032 497 9769 15559 9662 13424 4936 15910 7611
366,115 1594 17866 2236 17787 11776 7063 2049 7721 5832
367,23109 11925 13485 914 4825 7910 9358 25574 7869 7587
368,9438 10269 22554 5942 12061 10786 18293 9851 25260 15564
369,24209 19089 18984 8431 5522 7494 20095 17723 21381 11091
370,15562 1185 15908 4260 20308 24964 7169 22359 24481 24764
371,8796 23523 12885 4 16332 1210 16225 15578 21072 17860
372,4620 23536 2333 13030 2868 10788 9284 10450 15335 22646
373,7710 17753 21245 17877 12638 24268 15410 11748 18263 3097
374,13319 12191 9057 12087 574 12080 24513 19563 24140 8626
375,2426 21061 10162 13226 2679 10594 3744 8529 9555 2001
376,17230 8560 10775 23230 9116 21552 9591 20711 9186 3863
377,7494 2665 20146 16630 20095 19480 17723 19709 3165 24128
378,13552 913 18886 4781 2422 13328 22701 13433 13573 17374
379,3744 21061 15572 14141 588 8986 13887 4973 1846 1869
380,23154 15691 9555 10594 10834 6734 1583 6327 18392 8316
381,6239 21527 6760 23628 14978 5562 10182 22858 25740 24153
382,7553 25675 17860 16425 8491 23888 24075 23270 20438 25260
383,9438 22554 12061 9851 5942 23799 18293 19401 15564 16890
384,11730 19910 11091 23909 25873 11687 17760 13352 14291 16630
385,25013 24481 15207 24014 18399 10396 24197 17478 10796 5227
386,19977 21147 18839 15984 9901 22767 3749 4463 4421 16353
387,17592 6572 16758 13540 13976 5887 7973 19054 8633 2308
388,23774 2118 13503 25596 5952 6450 13149 11533 7583 15169
389,2426 23154 9555 10594 10834 7991 6734 23141 17156 13711
390,23600 20095 7494 19480 12409 2665 11658 11091 19709 18930
391,9438 18751 9637 17700 1210 16195 17470 14599 18448 4337
392,20986 8538 5629 17369 21510 13911 11604 5188 23184 24075
393,14684 20308 21304 19874 10073 4502 24355 24197 24075 18399
394,21030 8538 14291 2811 466 19480 17865 20061 8704 364
395,23537 20935 4147 13294 7736 8894 2236 22445 3497 16651
396,13508 11772 13022 13169 5295 2995 8799 18859 16641 11848
397,2426 20325 14354 18499 3961 12719 18644 14973 5218 16353
398,21409 20963 2798 4184 15224 23405 12381 24333 1702 17908
399,19875 11533 15169 5952 3737 8860 6708 4366 11380 20289
400,18245 9398 16717 1329 4384 7850 8062 8350 23392 12083
401,1863 8544 9591 2996 4966 20711 8560 18293 24621 24410
402,12488 1151 19150 1236 21373 24138 5616 10284 3441 12162
403,13433 19976 4502 8430 17313 22467 25801 5542 24517 9578
404,22473 8806 9602 15191 6426 21493 11356 14593 18264 3627
405,14684 4502 19874 6612 20308 10418 18419 19879 6329 4257
406,15562 4502 14684 18987 2304 2274 9942 14539 2835 15234
407,10269 25675 9438 22554 12061 5942 9851 18293 10786 23799
408,562 14129 9282 21871 3518 19196 18493 12544 24561 21479
409,16790 17418 409 11839 19991 17205 11755 12534 14568 14245
410,16177 1329 14727 22662 16717 17743 17248 25737 16688 4384
411,16630 13797 19089 19480 12914 20095 8097 9664 14291 18984
412,8097 16394 24577 25407 15234 12914 4257 17070 19874 20508
413,8560 21552 4940 22645 7266 14385 12801 13628 18122 8920
414,10269 9438 25675 5942 12061 9851 22554 10786 25491 23127
415,15537 4686 12138 6011 23608 833 11653 24371 15202 2109
416,3774 3345 5771 2663 24439 4906 1164 11326 7421 11215
417,927 16241 19355 890 24014 9779 16301 23844 5078 17133
418,14684 4502 18512 19874 11672 11737 24355 1714 11436 15363
419,9591 18122 14385 12801 1960 22645 13628 21552 8920 19822
420,23975 11623 9520 4859 19007 1959 9438 23324 1745 20857
421,1702 16726 4184 20963 15224 23405 7016 17908 21409 7053
422,14159 13283 21450 14619 21991 6876 5435 8645 21621 14912
423,9591 8544 4966 22511 8560 11452 8920 4940 13628 20711
424,20308 22653 15363 18419 1714 6612 5581 11832 7883 25201
425,1863 21552 8544 22511 13541 11868 15327 7639 22804 21464
426,5815 17370 8396 14017 22891 10994 592 14539 12454 8295
427,12719 1900 1218 8323 15238 9286 15932 2976 572 23776
428,23618 625 22731 3913 15331 2748 6734 902 21395 15903
429,304 13342 18852 7993 4738 13232 14289 25235 19326 14633
430,21421 8493 21879 11775 7886 20686 10538 5514 5389 5724
431,5083 17418 11096 4670 10734 17509 14061 24992 12072 9962
432,16775 15903 25083 8318 22075 9092 10397 19973 658 19778
433,8769 20308 14684 9327 10073 6691 24197 19874 15124 24355
434,6829 4620 5717 7849 2202 12341 11764 15327 8920 14593
435,956 9934 15562 25868 6380 10201 1920 2579 17948 12906
436,6198 17723 19089 20095 23600 20146 25679 19525 24128 7494
437,2665 20146 12158 19089 20095 13294 19480 8709 14895 5044
438,6579 12239 519 8314 9503 15366 11985 13592 20873 13014
439,23154 2426 10594 25407 17156 9322 21920 5 10792 8316
440,16028 9498 24000 448 3203 6801 25917 23061 19186 22779
